DIRECTORIO,SECUENCIA_ENCUESTA,SECUENCIA_P,ORDEN.x,ING,REC,CAR,SEC,I_HOGAR
7902061,1,1,1,1,0,0,1,1141666.6667
7794579,1,1,1,1,1,0,1,470000
7857218,1,1,1,1,0,0,1,755000
7802486,1,1,1,1,0,0,1,949583.33333
7807656,1,1,1,1,0,0,1,2300833.3333
7818860,1,1,1,1,0,0,1,650000
7850370,1,1,1,1,1,0,0,460000
7865836,1,1,1,1,0,0,1,2200000
7897803,1,1,1,1,0,0,1,340000
7867604,1,1,1,1,0,0,0,595000
7833763,1,1,1,1,0,0,1,1377500
7842241,1,1,1,1,0,0,1,1200000
7821728,1,1,1,1,0,0,1,960000
7804360,1,1,1,1,0,0,1,1300000
7859978,1,1,1,1,0,0,1,1000000
7885138,1,1,1,1,0,0,1,400000
7902148,1,1,1,1,0,0,1,478333.33333
7814445,1,1,1,1,0,0,1,650833.33333
7813563,1,1,1,1,0,0,1,390000
7820076,1,1,1,1,0,0,1,1440000
7873041,1,1,1,1,0,0,1,615000
7856279,1,1,1,1,0,0,0,690000
7796681,1,1,1,1,0,0,1,1640000
7839532,1,1,1,1,0,0,1,460000
7846452,1,1,1,1,0,0,1,1530000
7790415,1,1,1,1,1,0,1,2837500
7873652,1,1,1,1,0,0,1,800000
7831574,1,1,1,1,0,0,1,560000
7864090,1,1,1,1,0,0,1,525000
7849125,1,1,1,1,0,0,1,1000000
7888032,1,1,1,1,0,0,1,1450000
7866219,1,1,1,1,0,0,1,430000
7812160,1,1,1,1,0,0,1,1898333.3333
7907219,1,1,1,1,1,0,1,400000
7813115,1,1,1,1,0,0,1,313333.33333
7872472,1,1,1,1,0,0,1,1217500
7899579,1,1,1,1,0,0,1,273333.33333
7852430,1,1,1,1,0,0,1,1592500
7862032,1,1,1,1,0,0,1,2000000
7841084,1,1,1,1,0,0,1,61666.666667
7907150,1,1,1,1,1,0,1,8138166.6667
7898591,1,1,1,1,0,0,1,131666.66667
7870150,1,1,1,1,1,0,1,1050000
7809353,1,1,1,1,0,0,1,700000
7851220,1,1,1,1,0,0,1,1040000
7872743,1,1,1,1,0,0,1,365000
7887449,1,1,1,1,0,0,1,1100000
7827249,1,1,1,1,0,0,1,1450000
7822477,1,1,1,1,0,0,1,1050000
7894013,1,1,1,1,1,0,1,1160000
7871752,1,1,1,1,0,0,1,1540000
7794308,1,1,1,1,0,0,1,876250
7797859,1,1,1,1,0,0,1,1003333.3333
7850936,1,1,1,1,0,0,1,125000
7794912,1,1,1,1,0,0,1,593333.33333
7850546,1,1,1,1,0,0,1,360000
7849718,1,1,1,1,0,0,1,423333.33333
7828763,1,1,1,1,0,0,1,891666.66667
7835984,1,1,1,1,0,0,1,205000
7841766,1,1,1,1,0,0,1,200000
7813243,1,1,1,1,0,0,1,868333.33333
7909404,1,1,1,1,0,0,1,105000
7815878,1,1,1,1,0,0,1,583333.33333
7818759,1,1,1,1,0,0,0,995000
7820979,1,1,1,1,0,0,1,880000
7805997,1,1,1,1,0,0,1,550000
7842121,1,1,1,1,0,0,1,1392666.6667
7889753,1,1,1,1,0,0,1,566666.66667
7839923,1,1,1,1,0,0,1,1400000
7864894,1,1,1,1,0,0,1,700000
7818053,1,1,1,1,0,0,1,104166.66667
7891962,1,1,1,1,0,0,1,300000
7790500,1,1,1,1,1,0,1,630000
7814453,1,1,1,1,0,0,1,80000
7798915,1,1,1,1,0,0,1,1867220
7847030,1,1,1,1,0,0,1,938333.33333
7885457,1,1,1,1,0,0,1,2043333.3333
7830601,1,1,1,1,0,0,1,1460000
7808606,1,1,1,1,0,1,1,1117000
7808184,1,1,1,1,0,0,1,180000
7858901,1,1,1,1,0,0,0,1275000
7822127,1,1,1,1,0,0,0,228333.33333
7840216,1,1,1,1,0,0,1,2120833.3333
7871271,1,1,1,1,0,0,1,700000
7905164,1,1,1,1,0,0,1,1816666.6667
7815984,1,1,1,1,0,0,1,1830000
7837965,1,1,1,1,0,0,1,2260000
7862452,1,1,1,1,0,0,1,1067500
7883497,1,1,1,1,0,0,1,608000
7837843,1,1,1,1,0,0,1,3451666.6667
7804675,1,1,1,1,0,0,1,600500
7807558,1,1,1,1,0,0,1,200000
7892981,1,1,1,1,0,0,1,410000
7889153,1,1,1,1,0,0,1,1250000
7825591,1,1,1,1,0,0,1,1225000
7797458,1,1,1,1,0,0,1,896666.66667
7790424,1,1,1,1,0,0,1,3048938.6667
7855930,1,1,1,1,0,0,1,225000
7905936,1,1,1,1,0,0,1,1050000
7890183,1,1,1,1,0,0,1,213333.33333
7865966,1,1,1,1,0,0,1,700000
7896399,1,1,1,1,0,0,0,1250000
7815657,1,1,1,1,0,0,1,1821666.6667
7841719,1,1,1,1,0,0,1,736666.66667
7815154,1,1,1,1,0,0,1,2450000
7849514,1,1,1,1,0,0,1,280000
7865214,1,1,1,1,0,0,1,1050000
7801987,1,1,1,1,0,0,0,2984666.6667
7881319,1,1,1,1,0,0,1,430000
7842222,1,1,1,1,0,0,1,1795000
7871170,1,1,1,1,0,0,1,1600000
7872393,1,1,1,1,0,0,1,1046666.6667
7869966,1,1,1,1,0,0,1,300000
7869021,2,1,2,1,0,0,1,940000
7886578,1,1,1,1,0,0,1,925000
7826160,1,1,1,1,0,0,1,320000
7840116,1,1,1,1,0,0,1,600000
7825603,1,1,1,1,0,0,1,1183000
7813438,1,1,1,1,0,0,1,1380000
7843794,1,1,1,1,0,0,1,1500000
7802873,1,1,1,1,0,0,1,4265000
7812543,1,1,1,1,0,0,1,205000
7834815,1,1,1,1,0,0,1,996666.66667
