"","DIRECTORIO","SECUENCIA_ENCUESTA","SECUENCIA_P","ORDEN.x","ING","REC","CAR","SEC","I_HOGAR"
"35596","7839657","1","1","1",1,0,0,1,3384000
"35597","7839658","1","1","1",1,0,0,1,1657000
"35598","7839659","1","1","1",2,0,0,1,1575333.3333
"35599","7839660","1","1","1",1,0,0,1,105000
"35600","7839662","1","1","1",2,0,0,1,950000
"35601","7839663","1","1","1",2,1,1,1,390000
"35602","7839664","1","1","1",2,1,0,1,1e+06
"35603","7839667","1","1","1",1,0,0,1,898000
"35604","7839669","1","1","1",1,0,0,0,1403666.6667
"35605","7839670","1","1","1",2,0,0,1,825250
"35606","7839671","1","1","1",1,0,0,1,1120000
"35607","7839672","1","1","1",1,1,0,1,960000
"35608","7839673","1","1","1",1,0,0,1,150000
"35609","7839675","1","1","1",1,0,0,1,220000
"35610","7839676","1","1","1",2,0,0,1,375000
"35611","7839677","1","1","1",1,0,0,1,3032166.6667
"35612","7839678","1","1","1",1,0,0,1,1300000
"35613","7839680","1","1","1",1,0,0,1,3225000
"35614","7839681","1","1","1",1,0,0,1,1748666.6667
"35615","7839683","1","1","1",1,0,0,1,433333.33333
"35616","7839684","1","1","1",1,0,0,1,180000
"35617","7839685","1","1","1",1,1,0,1,1750000
"35618","7839686","1","1","1",2,0,0,1,1480000
"35619","7839687","1","1","1",1,1,0,1,2537000
"35620","7839689","1","1","1",1,0,0,1,7e+05
"35621","7839690","1","1","1",1,0,0,1,320000
"35622","7839691","1","1","1",2,0,0,1,825000
"35623","7839692","1","1","1",2,0,0,1,250000
"35624","7839693","1","1","1",2,0,0,1,140000
"35625","7839694","1","1","1",1,0,0,1,250000
"35626","7839695","1","1","1",2,0,0,1,2e+06
"35627","7839697","1","1","1",1,0,0,1,1380000
"35628","7839698","1","1","1",1,0,0,1,2493000
"35629","7839700","1","1","1",1,0,0,1,2687333.3333
"35630","7839702","1","1","1",1,0,0,1,2e+05
"35631","7839703","1","1","1",1,0,0,0,2181666.6667
"35632","7839704","1","1","1",1,0,0,1,1210000
"35633","7839705","1","1","1",1,0,0,1,1937000
"35634","7839706","1","1","1",2,0,0,1,2216666.6667
"35635","7839707","1","1","1",1,0,0,1,133333.33333
"35636","7839708","1","1","1",1,0,0,1,280000
"35637","7839709","1","1","1",1,0,0,0,850000
"35638","7839711","1","1","1",2,0,0,0,660000
"35639","7839713","1","1","1",2,0,1,1,7900000
"35640","7839714","1","1","1",2,0,0,1,1220000
"35641","7839715","1","1","1",2,0,0,1,603000
"35642","7839716","1","1","1",1,0,0,1,588333.33333
"35643","7839717","1","1","1",2,0,0,1,1245000
"35644","7839718","1","1","1",2,0,0,1,1100000
"35645","7839719","1","1","1",1,0,0,1,1274000
"35646","7839722","1","1","1",1,0,0,1,530000
"35647","7839723","1","1","1",1,0,0,1,1450000
"35648","7839724","1","1","1",1,0,0,0,933333.33333
"35649","7839725","1","1","1",2,0,1,1,4683333.3333
"35650","7839726","1","1","1",2,0,0,1,2015366.6667
"35651","7839727","1","1","1",1,0,0,1,2e+06
"35652","7839728","1","1","1",2,0,0,1,1018333.3333
"35653","7839729","1","1","1",1,0,0,1,1510000
"35654","7839730","1","1","1",1,0,0,1,249166.66667
"35655","7839731","1","1","1",2,0,0,1,1100000
"35656","7839732","1","1","1",1,0,0,1,1375000
"35657","7839734","1","1","1",1,0,0,1,1e+06
"35658","7839736","1","1","1",2,0,0,1,9e+05
"35659","7839737","1","1","1",1,0,0,1,798000
"35660","7839740","1","1","1",2,0,0,0,1585000
"35661","7839741","1","1","1",1,0,0,1,1010000
"35662","7839742","1","1","1",1,0,0,1,550000
"35663","7839743","1","1","1",1,0,0,1,530000
"35664","7839744","1","1","1",2,0,1,1,2800000
"35665","7839745","1","1","1",2,0,0,1,1200000
"35666","7839746","1","1","1",1,0,0,1,405000
"35667","7839747","1","1","1",1,1,0,1,783333.33333
"35668","7839748","1","1","1",2,0,0,1,1566666.6667
"35669","7839749","1","1","1",1,0,0,1,1300000
"35670","7839750","1","1","1",1,0,0,1,450000
"35671","7839751","1","1","1",2,0,0,1,375000
"35672","7839752","1","1","1",1,0,0,1,1375000
"35673","7839753","1","1","1",2,0,0,1,1520000
"35674","7839754","1","1","1",1,0,0,1,320833.33333
"35675","7839755","1","1","1",2,0,0,1,822500
"35676","7839756","1","1","1",1,0,0,1,480000
"35677","7839757","1","1","1",1,0,0,1,4119166.6667
"35678","7839759","1","1","1",2,0,0,1,1e+05
"35679","7839760","1","1","1",2,0,0,0,1500000
"35680","7839761","1","1","1",2,0,0,1,2895000
"35681","7839763","1","1","1",2,0,0,1,1408333.3333
"35682","7839764","1","1","1",2,1,0,1,971000
"35683","7839765","1","1","1",1,0,0,1,3e+05
"35684","7839766","1","1","1",2,1,0,1,2050000
"35685","7839767","1","1","1",2,0,0,1,6e+05
"35686","7839770","1","1","1",2,0,0,1,983333.33333
"35687","7839772","1","1","1",2,0,1,1,9900000
"35688","7839774","1","1","1",1,0,0,1,150000
"35689","7839776","1","1","1",2,0,0,1,550000
"35690","7839778","1","1","1",1,0,0,1,1500000
"35691","7839779","1","1","1",2,0,1,0,2083333.3333
"35692","7839780","1","1","1",3,0,0,1,7035000
"35693","7839781","1","1","1",1,0,0,1,330000
"35694","7839782","1","1","1",1,0,0,1,1325000
"35695","7839783","1","1","1",2,0,0,1,1615000
"35696","7839784","1","1","1",1,0,0,0,744000
"35697","7839785","1","1","1",2,0,0,1,1e+05
"35698","7839786","1","1","1",2,0,0,1,3252833.3333
"35699","7839788","1","1","1",2,0,0,1,2346666.6667
"35700","7839789","1","1","1",2,0,0,1,1150000
